n,trap,simp,gaus,trap_err,simp_err,gaus_err
3,4.087696903725,3.581148213608494,3.627883002452937,0.48035392965048374,0.026194760466022426,0.02054002837842095
5,3.744361168512708,3.629915923441944,3.6316933510428875,0.13701819443819163,0.022572949367427597,0.02435037696837128
9,3.6261116767211794,3.5866951794573363,3.609089710180768,0.018768702646663193,0.020647794617179915,0.0017467361062517561
17,3.6120388125005434,3.607347857760331,3.6095784051620012,0.004695838426027166,4.883685814860428e-06,0.002235431087485029
33,3.6085171629231025,3.6073432797306215,3.607725753163893,0.0011741888485863328,3.0565610531496645e-07,0.0003827790893766725
